Number of inserted elements(n),Filter Size (m) in bits,Filter Size (m) in bytes,Filter Size (m) in Mbytes,Number of Hash Funcs(k),Building Time(s),FPP = 5% 
1024,6384.87,798.109,0.000798109,4,0,0.05
2048,12769.7,1596.22,0.00159622,4,0,0.05
4096,25539.5,3192.43,0.00319243,4,0,0.05
8192,51079,6384.87,0.00638487,4,0,0.05
1048576,6.53811e+06,817263,0.817263,4,0,0.05
2097152,1.30762e+07,1.63453e+06,1.63453,4,0,0.05
4194304,2.61524e+07,3.26905e+06,3.26905,4,0,0.05
8388608,5.23049e+07,6.53811e+06,6.53811,4,0,0.05
33554432,2.09219e+08,2.61524e+07,26.1524,4,0,0.05
268435456,1.67376e+09,2.09219e+08,209.219,4,0,0.05
